Names,Names2,A1,A2,A3,A4,A5,A6,A7,A8,Sample,Group,Names,,,
E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN9A_Tibetan_Ngari,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,Chinese_CAN9A.CanFam31.realigned.bam,Tibetan,E_Tibetan_Chinese_CAN9A_Tibetan_Ngari,CanFam31,realigned,bam
E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN11_Tibetan_Lhasa,1E-09,1E-09,1E-09,1E-09,0.644257144,1E-09,1E-09,0.35574285,Chinese_CAN11.CanFam31.realigned.bam,Tibetan,E_Tibetan_Chinese_CAN11_Tibetan_Lhasa,CanFam31,realigned,bam
E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN16_Qinghai,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,Chinese_CAN16.CanFam31.realigned.bam,Tibetan,E_Tibetan_Chinese_CAN16_Qinghai,CanFam31,realigned,bam
E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN32_Qinghai,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,1E-09,Chinese_CAN32.CanFam31.realigned.bam,Tibetan,E_Tibetan_Chinese_CAN32_Qinghai,CanFam31,realigned,bam
C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009566_Kerman,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,Iranwolf_SRR12009566.CanFam31.bam,WestAsia,C_WestAsia_Iranwolf_SRR12009566_Kerman,CanFam31,bam,
C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009567_Tehran,1E-09,1E-09,1E-09,0.038781028,1E-09,0.961218966,1E-09,1E-09,Iranwolf_SRR12009567.CanFam31.bam,WestAsia,C_WestAsia_Iranwolf_SRR12009567_Tehran,CanFam31,bam,
C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009568_Hamadan,0.082614992,1E-09,0.038584759,1E-09,1E-09,0.804860392,0.073939853,1E-09,Iranwolf_SRR12009568.merge.CanFam31.bam,WestAsia,C_WestAsia_Iranwolf_SRR12009568_Hamadan,merge,CanFam31,bam
C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam,C_WestAsia_S21_2743_Israel,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,S21_2743_SaudiArabia.CanFam31.bam,WestAsia,C_WestAsia_S21_2743_Israel,CanFam31,bam,
C_WestAsia_IranWolf.CanFam31.realigned.bam,C_WestAsia_IranWolf_General,0.099444147,1E-09,0.016657602,1E-09,0.014412731,0.797687221,0.071798296,1E-09,IranWolf.CanFam31.realigned.bam,WestAsia,C_WestAsia_IranWolf_General,CanFam31,realigned,bam
C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam,C_WestAsia_Saudi_Arabia,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,Saudi_wolf_B1.CanFam31.realigned.bam,WestAsia,C_WestAsia_Saudi_Arabia,CanFam31,realigned,bam
C_WestAsia_Syrian_wolf.CanFam31.realigned.bam,C_WestAsia_Syria,1E-09,1E-09,1E-09,0.001737798,1E-09,0.998262196,1E-09,1E-09,Syrian_wolf.CanFam31.realigned.bam,WestAsia,C_WestAsia_Syria,CanFam31,realigned,bam
C_WestAsia_Lebanonwolf.CanFam31.bam,C_WestAsia_Lebanon,0.131245495,1E-09,0.047910118,0.004342492,1E-09,0.81650189,1E-09,1E-09,Lebanonwolf.CanFam31.bam,WestAsia,C_WestAsia_Lebanon,CanFam31,bam,
C_WestAsia_Iran_SAMC036723.CanFam31.bam,C_WestAsia_Iran_SAMC036723,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,1E-09,Iran_SAMC036723.CanFam31.bam,WestAsia,C_WestAsia_Iran_SAMC036723,CanFam31,bam,
C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326411,0.165841662,1E-09,0.031198538,1E-09,0.005235936,0.606533605,0.177392843,0.013797415,Iran_SRR20326411.merge.CanFam31.bam,WestAsia,C_WestAsia_Iran_SRR20326411,merge,CanFam31,bam
C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326410,1E-09,1E-09,1E-09,0.270281409,1E-09,0.729621273,9.73131E-05,1E-09,Iran_SRR20326410.merge.CanFam31.bam,WestAsia,C_WestAsia_Iran_SRR20326410,merge,CanFam31,bam
C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326408,0.08577119,1E-09,0.005313193,1E-09,1E-09,0.716885074,0.192030538,1E-09,Iran_SRR20326408.merge.CanFam31.bam,WestAsia,C_WestAsia_Iran_SRR20326408,merge,CanFam31,bam
C_WestAsia_MW387.CanFam31.realigned.bam,C_WestAsia_MW387_Turkey,0.319645208,1E-09,0.065207992,0.024669231,1E-09,0.518417266,0.049699276,0.022361025,MW387.CanFam31.realigned.bam,WestAsia,C_WestAsia_MW387_Turkey,CanFam31,realigned,bam
H_Europe_PortugueseWolf.CanFam31.realigned.bam,H_Europe_Portugal,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,PortugueseWolf.CanFam31.realigned.bam,Europe,H_Europe_Portugal,CanFam31,realigned,bam
H_Europe_IberianWolf.CanFam31.realigned.bam,H_Europe_IberianWolf,0.762735251,1E-09,1E-09,0.237264743,1E-09,1E-09,1E-09,1E-09,IberianWolf.CanFam31.realigned.bam,Europe,H_Europe_IberianWolf,CanFam31,realigned,bam
H_Europe_wSierraMorena.CanFam31.realigned.bam,H_Europe_wSierraMorena,0.520755786,1E-09,1E-09,0.479244208,1E-09,1E-09,1E-09,1E-09,wSierraMorena.CanFam31.realigned.bam,Europe,H_Europe_wSierraMorena,CanFam31,realigned,bam
H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,H_Europe_Italy,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,Europe,H_Europe_Italy,CanFam31,realigned,bam
H_Europe_MW005.CanFam31.realigned.bam,H_Europe_MW005_Norway,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MW005.CanFam31.realigned.bam,Europe,H_Europe_MW005_Norway,CanFam31,realigned,bam
H_Europe_MW347.CanFam31.realigned.bam,H_Europe_MW347_Finland,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MW347.CanFam31.realigned.bam,Europe,H_Europe_MW347_Finland,CanFam31,realigned,bam
H_Europe_MW020.CanFam31.realigned.bam,H_Europe_MW020_Lithuania,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MW020.CanFam31.realigned.bam,Europe,H_Europe_MW020_Lithuania,CanFam31,realigned,bam
H_Europe_MW045.CanFam31.realigned.bam,H_Europe_MW045_Czech,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MW045.CanFam31.realigned.bam,Europe,H_Europe_MW045_Czech,CanFam31,realigned,bam
H_Europe_MW062.CanFam31.realigned.bam,H_Europe_MW062_Romania,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MW062.CanFam31.realigned.bam,Europe,H_Europe_MW062_Romania,CanFam31,realigned,bam
H_Europe_MW515.CanFam31.realigned.bam,H_Europe_MW515_Austria,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MW515.CanFam31.realigned.bam,Europe,H_Europe_MW515_Austria,CanFam31,realigned,bam
H_Europe_MW707A.CanFam31.realigned.bam,H_Europe_MW707_Ukraine,0.956344489,1E-09,1E-09,0.043655505,1E-09,1E-09,1E-09,1E-09,MW707A.CanFam31.realigned.bam,Europe,H_Europe_MW707_Ukraine,CanFam31,realigned,bam
H_Europe_MW703A.CanFam31.realigned.bam,H_Europe_MW703_Bosnia,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MW703A.CanFam31.realigned.bam,Europe,H_Europe_MW703_Bosnia,CanFam31,realigned,bam
H_Europe_MW706A.CanFam31.realigned.bam,H_Europe_MW706_Bulgaria,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MW706A.CanFam31.realigned.bam,Europe,H_Europe_MW706_Bulgaria,CanFam31,realigned,bam
H_Europe_MW1126.CanFam31.realigned.bam,H_Europe_MW1126_Croatia,0.997818919,1E-09,1E-09,0.002181075,1E-09,1E-09,1E-09,1E-09,MW1126.CanFam31.realigned.bam,Europe,H_Europe_MW1126_Croatia,CanFam31,realigned,bam
H_Europe_MW1135.CanFam31.realigned.bam,H_Europe_MW1135_Greece,0.985478717,1E-09,1E-09,0.00524915,1E-09,1E-09,1E-09,0.009272128,MW1135.CanFam31.realigned.bam,Europe,H_Europe_MW1135_Greece,CanFam31,realigned,bam
H_Europe_MW336.CanFam31.realigned.bam,H_Europe_MW336_Slovakia,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MW336.CanFam31.realigned.bam,EastAsia,H_Europe_MW336_Slovakia,CanFam31,realigned,bam
H_Europe_MW339.CanFam31.realigned.bam,H_Europe_MW339_Slovakia,0.950531334,1E-09,1E-09,0.04946866,1E-09,1E-09,1E-09,1E-09,MW339.CanFam31.realigned.bam,Europe,H_Europe_MW339_Slovakia,CanFam31,realigned,bam
H_Europe_MW055.CanFam31.realigned.bam,H_Europe_MW055_Germany,0.999999993,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,MW055.CanFam31.realigned.bam,Europe,H_Europe_MW055_Germany,CanFam31,realigned,bam
H_Europe_Wang_GW3.CanFam31.realigned.bam,H_Europe_Wang_GW3_Russia_Bryansk,0.84882139,1E-09,1E-09,0.004861784,0.001387327,0.068234664,1E-09,0.076694831,Wang_GW3.CanFam31.realigned.bam,Europe,H_Europe_Wang_GW3_Russia_Bryansk,CanFam31,realigned,bam
F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN24_Xinjiang,0.151044901,1E-09,0.015583218,1E-09,0.002840214,0.128098856,0.153143392,0.549289418,Chinese_CAN24.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_Chinese_CAN24_Xinjiang,CanFam31,realigned,bam
F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN30_Xinjiang,0.271149314,1E-09,0.005381572,1E-09,0.014591634,0.089463424,0.17830459,0.441109464,Chinese_CAN30.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_Chinese_CAN30_Xinjiang,CanFam31,realigned,bam
F_CentralAsia_Wang_GW1.CanFam31.realigned.bam,F_CentralAsia_Wang_GW1_Xinjiang,0.257835387,1E-09,0.012988158,0.024611926,0.019583331,0.066871294,0.043449292,0.574660611,Wang_GW1.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_Wang_GW1_Xinjiang,CanFam31,realigned,bam
F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam,F_CentralAsia_Kyrgyzstan_SRR20326406,0.162154473,1E-09,1E-09,0.445519027,1E-09,0.02014233,0.166780102,0.205404064,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,CentralAsia,F_CentralAsia_Kyrgyzstan_SRR20326406,merge,CanFam31,bam
F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam,F_CentralAsia_Kazakhstan_SRR20326405,0.071307945,1E-09,0.018570922,0.015491688,1E-09,0.077316394,0.25873903,0.558574019,Kazakhstan_SRR20326405.CanFam31.bam,CentralAsia,F_CentralAsia_Kazakhstan_SRR20326405,CanFam31,bam,
F_CentralAsia_AW012.CanFam31.realigned.bam,F_CentralAsia_AW012_Afghanistan,0.200239037,0.002943572,0.191938721,0.006486114,0.001144041,0.377380717,0.095772757,0.124095041,AW012.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_AW012_Afghanistan,CanFam31,realigned,bam
F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326404,0.167058265,0.005019259,1E-09,1E-09,0.001906284,0.094827998,0.247485201,0.483702991,Russia_SRR20326404.merge.CanFam31.bam,CentralAsia,F_CentralAsia_Russia_SRR20326404,merge,CanFam31,bam
F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326403,0.184391155,1E-09,1E-09,1E-09,1E-09,0.052832393,0.21248908,0.550287369,Russia_SRR20326403.merge.CanFam31.bam,CentralAsia,F_CentralAsia_Russia_SRR20326403,merge,CanFam31,bam
F_CentralAsia_Russia_SRR20326401.CanFam31.bam,F_CentralAsia_Russia_SRR20326401,0.141780608,1E-09,1E-09,1E-09,1E-09,1E-09,0.087206945,0.771012442,Russia_SRR20326401.CanFam31.bam,CentralAsia,F_CentralAsia_Russia_SRR20326401,CanFam31,bam,
F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326400,0.047356708,1E-09,1E-09,1E-09,0.024213099,1E-09,0.070469402,0.857960787,Russia_SRR20326400.merge.CanFam31.bam,CentralAsia,F_CentralAsia_Russia_SRR20326400,merge,CanFam31,bam
F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326388,0.409649234,0.014886742,0.004332069,0.040467101,1E-09,0.233024865,0.185304474,0.112335515,Russia_SRR20326388.merge.CanFam31.bam,CentralAsia,F_CentralAsia_Russia_SRR20326388,merge,CanFam31,bam
F_CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326385,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,Tajikistan_SRR20326385.merge.CanFam31.bam,CentralAsia,F_CentralAsia_Tajikistan_SRR20326385,merge,CanFam31,bam
F_CentralAsia_Tajikistan_SRR20326384.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326384,1E-09,1E-09,1E-09,1E-09,6.50874E-06,1E-09,0.999993485,1E-09,Tajikistan_SRR20326384.CanFam31.bam,CentralAsia,F_CentralAsia_Tajikistan_SRR20326384,CanFam31,bam,
F_CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam,F_CentralAsia_Tajikisan_SRR20326383,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,Tajikisan_SRR20326383.merge.CanFam31.bam,CentralAsia,F_CentralAsia_Tajikisan_SRR20326383,merge,CanFam31,bam
F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326382,1E-09,1E-09,1E-09,1E-09,0.014801069,1E-09,0.985198925,1E-09,Tajikistan_SRR20326382.merge.CanFam31.bam,CentralAsia,F_CentralAsia_Tajikistan_SRR20326382,merge,CanFam31,bam
F_CentralAsia_Tajikistan_SRR20326381.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326381,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,Tajikistan_SRR20326381.CanFam31.bam,CentralAsia,F_CentralAsia_Tajikistan_SRR20326381,CanFam31,bam,
