Names,A1,A2,A3,A4,A5,A6,A7,Sample,Group
F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam,1.00E-09,0.076606717,0.02113511,0.45070419,1.00E-09,0.396250646,0.055303335,Tajikistan_SRR20326382.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326381.CanFam31.bam,1.00E-09,0.058658604,1.65E-06,0.470987479,1.00E-09,0.425173867,0.045178397,Tajikistan_SRR20326381.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam,1.00E-09,0.010824774,1.00E-09,0.478755065,1.00E-09,0.470825515,0.039594643,Tajikistan_SRR20326251.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam,1.00E-09,0.192356349,1.00E-09,0.416425249,1.00E-09,0.353063579,0.03815482,Tajikistan_SRR20326250.merge.CanFam31.bam,CentralAsia
F_CentralAsia_750114-25D.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.472708511,0.17232256,1.00E-09,0.326349048,0.028619878,750114-25D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750119-30D.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.410966728,0.205882446,1.00E-09,0.365655737,0.017495086,750119-30D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750125-33D.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.854253092,0.075121563,1.00E-09,0.046869345,0.023755997,750125-33D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750117-28D.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.534855588,0.188074246,1.00E-09,0.247232818,0.029837344,750117-28D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750282-35D.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.527555004,0.143502902,1.00E-09,0.324446783,0.004495308,750282-35D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750016-17D.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.63674987,0.087511192,1.00E-09,0.275738933,1.00E-09,750016-17D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_China_SRR20326486.merge.CanFam31.bam,1.00E-09,0.001878567,0.147673672,0.243538481,1.00E-09,0.592550684,0.014358593,China_SRR20326486.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326485.merge.CanFam31.bam,1.00E-09,1.00E-09,0.04909891,0.281803801,1.00E-09,0.651302801,0.017794485,China_SRR20326485.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326484.merge.CanFam31.bam,1.00E-09,0.032673084,0.124160751,0.229876776,1.00E-09,0.612384009,0.000905379,China_SRR20326484.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326483.merge.CanFam31.bam,0.009501985,1.00E-09,0.171926806,0.223558215,0.002969208,0.5759424,0.016101385,China_SRR20326483.merge.CanFam31.bam,CentralAsia
F_CentralAsia_MW486.CanFam31.realigned.bam,1.00E-09,0.001104922,0.802397615,0.078029109,1.00E-09,0.101109779,0.017358574,MW486.CanFam31.realigned.bam,CentralAsia
G_EastAsia_China_SRR20326491.merge.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,China_SRR20326491.merge.CanFam31.bam,EastAsia
G_EastAsia_China_SRR20326479.CanFam31.bam,0.065786543,0.505040075,1.00E-09,1.00E-09,1.00E-09,0.429173378,1.00E-09,China_SRR20326479.CanFam31.bam,EastAsia
