Names,A1,A2,A3,Sample,Group
G_EastAsia_MW574.CanFam31.realigned.bam,0.999999998,1.00E-09,1.00E-09,Wang_GW4.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW4.CanFam31.realigned.bam,0.999999998,1.00E-09,1.00E-09,InnerMongoliaWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam,0.999771993,0.000228006,0.000000001,MW588.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW588.CanFam31.realigned.bam,0.946270323,0.002935593,0.050794084,MW561.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW561.CanFam31.realigned.bam,0.997249639,0.00275036,0.000000001,MW524.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW524.CanFam31.realigned.bam,0.998106555,0.001893444,0.000000001,MW538.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW538.CanFam31.realigned.bam,0.981651205,1.00E-09,0.018348794,MW336.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam,0.981737215,0.016832223,0.001430562,Chinese_CAN7.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam,0.992431823,0.007568176,1.00E-09,Chinese_CAN6.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW2.CanFam31.realigned.bam,0.999999998,1.00E-09,1.00E-09,Wang_GW2.CanFam31.realigned.bam,EastAsia
G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam,0.987673443,0.012326556,1.00E-09,LiaoNingWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam,0.999999998,1.00E-09,1.00E-09,Shanxi2Wolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam,0.99768252,0.002317479,1.00E-09,Shanxi1Wolf.CanFam31.realigned.bam,EastAsia
I_NorthAmerica_Ellesmere1.CanFam31.realigned.bam,0.925202225,0.074797774,1.00E-09,Ellesmere1.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_AlaskanWolf.CanFam31.realigned.bam,0.93628352,0.063716479,1.00E-09,AlaskanWolf.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_MexicanWolf.CanFam31.realigned.bam,0.870015493,0.129984506,1.00E-09,MexicanWolf.CanFam31.realigned.bam,NorthAmerica
A_A_Dhole_BerlinZoo.CanFam31.realigned.bam,1.00E-09,0.999999998,1.00E-09,BerlinZoo.CanFam31.realigned.bam,Dhole
A_B_Ethiopianwolf_Ethiopian_wolf_B3.CanFam31.realigned.bam,1.00E-09,0.999999998,1.00E-09,Ethiopian_wolf_B3.CanFam31.realigned.bam,Ethiopianwolf
A_C_GoldenJackal_Syrian_jackal.CanFam31.realigned.bam,1.00E-09,0.999999998,1.00E-09,Syrian_jackal.CanFam31.realigned.bam,GoldenJackal
A_D_Africanwolf_KenyaJackal.CanFam31.realigned.bam,1.00E-09,0.999999998,1.00E-09,KenyaJackal.CanFam31.realigned.bam,Africanwolf
A_D_Africanwolf_ERR4372262_Morocco_Africanwolf.CanFam31.bam,1.00E-09,0.999999998,1.00E-09,ERR4372262_Morocco_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_CRR010907_Algeria_Africanwolf.CanFam31.bam,1.00E-09,0.999999998,1.00E-09,CRR010907_Algeria_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_Africanwolf_SRR8049196.CanFam31.bam,1.00E-09,0.999999998,1.00E-09,Africanwolf_SRR8049196.CanFam31.bam,Africanwolf
A_E_Coyote_CaliforniaCoyote.CanFam31.realigned.bam,0.147835699,0.8521643,1.00E-09,CaliforniaCoyote.CanFam31.realigned.bam,Coyote
A_E_Coyote_SRR1518489_Coyote_Illinois.CanFam31.bam,0.264285725,0.735714274,1.00E-09,SRR1518489_Coyote_Illinois.CanFam31.bam,Coyote
Z_Dog_Beagle_SRR7107976.CanFam31.bam,0.966157393,0.033842606,1.00E-09,Beagle_SRR7107976.CanFam31.bam,Dog
Z_Dog_Dauchound_SRR7107971.CanFam31.bam,0.963595989,0.03640401,1.00E-09,Dauchound_SRR7107971.CanFam31.bam,Dog
Z_Dog_SRR7107875_Airdale.CanFam31.bam,0.980672486,0.019327513,1.00E-09,SRR7107875_Airdale.CanFam31.bam,Dog
Z_Dog_MW207.CanFam31.realigned.bam,0.983634641,0.016365358,1.00E-09,MW207.CanFam31.realigned.bam,Dog
Z_Dog_SharPei02.CanFam31.realigned.bam,0.961965276,0.038034723,1.00E-09,SharPei02.CanFam31.realigned.bam,Dog
