Names,A1,A2,A3,A4,Sample,Group
F_CentralAsia_MW486.CanFam31.realigned.bam,0.945825917,0.052900458,1.00E-09,0.001273623,MW486.CanFam31.realigned.bam,CentralAsia
G_EastAsia_China_SRR20326491.merge.CanFam31.bam,0.99706584,1.00E-09,0.002845428,8.87E-05,China_SRR20326491.merge.CanFam31.bam,EastAsia
G_EastAsia_China_SRR20326479.CanFam31.bam,0.899081201,1.00E-09,0.045102367,0.05581643,China_SRR20326479.CanFam31.bam,EastAsia
G_EastAsia_MW574.CanFam31.realigned.bam,0.958908795,1.00E-09,5.41E-09,0.041091198,MW574.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW4.CanFam31.realigned.bam,0.99663164,1.00E-09,1.00E-09,0.003368358,Wang_GW4.CanFam31.realigned.bam,EastAsia
G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam,0.964322271,1.00E-09,1.00E-09,0.035677727,InnerMongoliaWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW588.CanFam31.realigned.bam,0.966132094,1.00E-09,0.000437033,0.033430872,MW588.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW561.CanFam31.realigned.bam,0.927080462,0.047610107,0.004617079,0.020692352,MW561.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW524.CanFam31.realigned.bam,0.958827523,1.00E-09,0.002522982,0.038649494,MW524.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW538.CanFam31.realigned.bam,0.967443638,0.000000001,0.001878005,0.030678356,MW538.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam,0.959888491,0.000000001,0.016930903,0.023180605,Chinese_CAN7.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam,0.982258178,1.00E-09,0.006377006,0.011364815,Chinese_CAN6.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW2.CanFam31.realigned.bam,0.969926683,1.00E-09,1.00E-09,0.030073315,Wang_GW2.CanFam31.realigned.bam,EastAsia
G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam,0.954384631,1.00E-09,0.012716485,0.032898883,LiaoNingWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam,0.934978249,1.00E-09,1.00E-09,0.065021749,Shanxi2Wolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam,0.9611476,1.00E-09,0.002630557,0.036221842,Shanxi1Wolf.CanFam31.realigned.bam,EastAsia
I_NorthAmerica_Ellesmere1.CanFam31.realigned.bam,0.861362231,1.00E-09,0.07505195,0.063585817,Ellesmere1.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_AlaskanWolf.CanFam31.realigned.bam,0.847260577,1.00E-09,0.063137572,0.089601851,AlaskanWolf.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_MexicanWolf.CanFam31.realigned.bam,0.749680483,1.00E-09,0.12728126,0.123038256,MexicanWolf.CanFam31.realigned.bam,NorthAmerica
A_A_Dhole_BerlinZoo.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999997,1.00E-09,BerlinZoo.CanFam31.realigned.bam,Dhole
A_B_Ethiopianwolf_Ethiopian_wolf_B3.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999997,1.00E-09,Ethiopian_wolf_B3.CanFam31.realigned.bam,Ethiopianwolf
A_C_GoldenJackal_Syrian_jackal.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999997,1.00E-09,Syrian_jackal.CanFam31.realigned.bam,GoldenJackal
A_D_Africanwolf_KenyaJackal.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999997,1.00E-09,KenyaJackal.CanFam31.realigned.bam,Africanwolf
A_D_Africanwolf_ERR4372262_Morocco_Africanwolf.CanFam31.bam,1.00E-09,1.00E-09,0.999999997,1.00E-09,ERR4372262_Morocco_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_CRR010907_Algeria_Africanwolf.CanFam31.bam,1.00E-09,1.00E-09,0.999999994,3.82E-09,CRR010907_Algeria_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_Africanwolf_SRR8049196.CanFam31.bam,1.00E-09,1.00E-09,0.999999997,1.00E-09,Africanwolf_SRR8049196.CanFam31.bam,Africanwolf
A_E_Coyote_CaliforniaCoyote.CanFam31.realigned.bam,0.141435665,1.00E-09,0.858564333,1.00E-09,CaliforniaCoyote.CanFam31.realigned.bam,Coyote
A_E_Coyote_SRR1518489_Coyote_Illinois.CanFam31.bam,0.113499577,1.00E-09,0.740470744,0.146029677,SRR1518489_Coyote_Illinois.CanFam31.bam,Coyote
Z_Dog_Beagle_SRR7107976.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.999999997,Beagle_SRR7107976.CanFam31.bam,Dog
Z_Dog_Dauchound_SRR7107971.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.999999997,Dauchound_SRR7107971.CanFam31.bam,Dog
Z_Dog_SRR7107875_Airdale.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.999999997,SRR7107875_Airdale.CanFam31.bam,Dog
Z_Dog_MW207.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.999999997,MW207.CanFam31.realigned.bam,Dog
Z_Dog_SharPei02.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.999999997,SharPei02.CanFam31.realigned.bam,Dog
