A1,A2,A3,A4,A5,A6,Population
1E-09,0.068943374,1E-09,1E-09,1E-09,0.931056622,H_EuropeWang_GW3.CanFam31.realigned.bam
0.001551296,0.591464428,0.077060551,0.016204574,0.152177321,0.16154183,F_CentralAsiaChinese_CAN24.CanFam31.realigned.bam
0.005282538,0.528227773,0.087679975,0.003400138,0.17006285,0.205346727,F_CentralAsiaChinese_CAN30.CanFam31.realigned.bam
0.000000001,0.561350132,0.078750003,0.016908356,0.105108271,0.237883236,F_CentralAsiaWang_GW1.CanFam31.realigned.bam
0.000000001,0.436531638,0.084665223,0.016458583,0.300136621,0.162207935,F_CentralAsiaKyrgyzstan_SRR20326406.merge.CanFam31.bam
0.000000001,0.523804847,0.052975169,0.007188187,0.258133656,0.15789814,F_CentralAsiaKazakhstan_SRR20326405.CanFam31.bam
0.002890131,0.09371094,0.42319941,0.206045464,0.141103382,0.133050673,F_CentralAsiaAW012.CanFam31.realigned.bam
1E-09,0.618477876,0.031415843,1E-09,0.204153777,0.145952502,F_CentralAsiaRussia_SRR20326404.merge.CanFam31.bam
1E-09,0.643242243,0.014622654,1E-09,0.185477495,0.156657606,F_CentralAsiaRussia_SRR20326403.merge.CanFam31.bam
1E-09,0.967783185,1E-09,1E-09,1E-09,0.032216811,F_CentralAsiaRussia_SRR20326401.CanFam31.bam
1E-09,0.99999279,1E-09,1E-09,7.20613E-06,1E-09,F_CentralAsiaRussia_SRR20326400.merge.CanFam31.bam
1E-09,0.175774955,0.327259487,0.000186567,0.158032368,0.338746622,F_CentralAsiaRussia_SRR20326388.merge.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,F_CentralAsiaTajikistan_SRR20326385.merge.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,F_CentralAsiaTajikistan_SRR20326384.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,F_CentralAsiaTajikisan_SRR20326383.merge.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,F_CentralAsiaTajikistan_SRR20326382.merge.CanFam31.bam
0.249217421,1E-09,1E-09,1E-09,0.750782575,1E-09,F_CentralAsiaTajikistan_SRR20326381.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,F_CentralAsiaTajikistan_SRR20326251.merge.CanFam31.bam
0.260464275,1E-09,1E-09,1E-09,0.739535721,1E-09,F_CentralAsiaTajikistan_SRR20326250.merge.CanFam31.bam
1E-09,0.287467319,0.152608437,0.010692701,0.090921706,0.458309835,F_CentralAsia750114-25D.CanFam31.realigned.bam
1E-09,0.261578053,0.163616744,0.010030428,0.099900185,0.464874589,F_CentralAsia750119-30D.CanFam31.realigned.bam
1E-09,0.129168236,0.132456281,0.006608628,0.026849672,0.704917182,F_CentralAsia750125-33D.CanFam31.realigned.bam
1E-09,0.287190575,0.142506287,0.020445022,0.123047465,0.42681065,F_CentralAsia750117-28D.CanFam31.realigned.bam
1E-09,0.272095217,0.058006369,1E-09,0.047988986,0.621909426,F_CentralAsia750282-35D.CanFam31.realigned.bam
1E-09,0.242118964,0.064987908,0.008756837,0.059584174,0.624552116,F_CentralAsia750016-17D.CanFam31.realigned.bam
1E-09,0.489848717,0.068381633,3.03304E-07,0.324691339,0.117078007,F_CentralAsiaChina_SRR20326486.merge.CanFam31.bam
