A1,A2,A3,A4,A5,A6,A7,A8,A9,Sample,Names
1E-09,1E-09,1E-09,0.139328158,1E-09,1E-09,0.860671835,1E-09,1E-09,Iran_SRR20326408.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam
1E-09,1E-09,1E-09,0.003388015,0.057883695,0.20873661,0.705307974,1E-09,0.024683703,norwegian_wolf,C_WestAsia_MW387.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,PortugueseWolf.CanFam31.realigned.bam,H_Europe_PortugueseWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.858351239,1E-09,0.141648754,1E-09,IberianWolf.CanFam31.realigned.bam,H_Europe_IberianWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.637674173,1E-09,0.36232582,1E-09,wSierraMorena.CanFam31.realigned.bam,H_Europe_wSierraMorena.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.086589499,0.913410494,1E-09,1E-09,1E-09,MW005.CanFam31.realigned.bam,H_Europe_MW005.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.091255573,0.90874442,1E-09,1E-09,1E-09,MW347.CanFam31.realigned.bam,H_Europe_MW347.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.985378249,1E-09,0.014621744,1E-09,MW020.CanFam31.realigned.bam,H_Europe_MW020.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,MW045.CanFam31.realigned.bam,H_Europe_MW045.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,MW062.CanFam31.realigned.bam,H_Europe_MW062.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,MW515.CanFam31.realigned.bam,H_Europe_MW515.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,MW707A.CanFam31.realigned.bam,H_Europe_MW707A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,MW703A.CanFam31.realigned.bam,H_Europe_MW703A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,MW706A.CanFam31.realigned.bam,H_Europe_MW706A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.878044596,1E-09,0.121955397,1E-09,MW1126.CanFam31.realigned.bam,H_Europe_MW1126.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.975762204,1E-09,0.024237789,1E-09,MW1135.CanFam31.realigned.bam,H_Europe_MW1135.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,MW339.CanFam31.realigned.bam,H_Europe_MW339.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,MW055.CanFam31.realigned.bam,H_Europe_MW055.CanFam31.realigned.bam
1E-09,1E-09,0.045358165,1E-09,0.048574506,0.875334833,1E-09,0.030732491,1E-09,Wang_GW3.CanFam31.realigned.bam,H_Europe_Wang_GW3.CanFam31.realigned.bam
1E-09,0.001405425,0.527898764,0.153585891,0.099733919,0.135443582,0.065221239,1E-09,0.016711179,Chinese_CAN24.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam
1E-09,0.005013282,0.462129113,0.168882219,0.111961862,0.173126166,0.074808285,1E-09,0.004079071,Chinese_CAN30.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam
1E-09,1E-09,0.485666126,0.105535194,0.110338204,0.199338354,0.062571311,0.018947134,0.017603675,Wang_GW1.CanFam31.realigned.bam,F_CentralAsia_Wang_GW1.CanFam31.realigned.bam
1E-09,1E-09,0.380097052,0.311747182,0.054748347,0.134654693,0.069125777,0.034668102,0.014958845,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam
1E-09,1E-09,0.466489885,0.269753574,0.079457532,0.135994532,0.041865466,1E-09,0.006439008,Kazakhstan_SRR20326405.CanFam31.bam,F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam
0.000000001,0.003725149,0.060493549,0.133108489,0.070886188,0.106910453,0.404669888,0.011946468,0.208259816,norwegian_wolf,F_CentralAsia_AW012.CanFam31.realigned.bam
1E-09,1E-09,0.562012232,0.213515423,0.074066388,0.12799047,0.022415483,1E-09,1E-09,Russia_SRR20326404.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam
1E-09,1E-09,0.578310745,0.195028975,0.08566378,0.134826806,0.006169689,1E-09,1E-09,Russia_SRR20326403.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam
1E-09,1E-09,0.77760671,0.006265787,0.216127497,1E-09,1E-09,1E-09,1E-09,Russia_SRR20326401.CanFam31.bam,F_CentralAsia_Russia_SRR20326401.CanFam31.bam
1E-09,1E-09,0.831833295,0.044581533,0.123585166,1E-09,1E-09,1E-09,1E-09,Russia_SRR20326400.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam
0.012151666,1E-09,0.127905142,0.164412445,0.056347316,0.29760408,0.301323004,0.040256345,1E-09,Russia_SRR20326388.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam
1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,Tajikistan_SRR20326385.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam
1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,Tajikistan_SRR20326384.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326384.CanFam31.bam
1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,Tajikisan_SRR20326383.merge.CanFam31.bam,F_CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam
1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,Tajikistan_SRR20326382.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam
1E-09,0.249635934,1E-09,0.750364059,1E-09,1E-09,1E-09,1E-09,1E-09,Tajikistan_SRR20326381.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326381.CanFam31.bam
1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,Tajikistan_SRR20326251.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam
1E-09,0.259443338,1E-09,0.740556655,1E-09,1E-09,1E-09,1E-09,1E-09,Tajikistan_SRR20326250.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,750114-25D.CanFam31.realigned.bam,F_CentralAsia_750114-25D.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,750119-30D.CanFam31.realigned.bam,F_CentralAsia_750119-30D.CanFam31.realigned.bam
1E-09,1E-09,0.078634063,0.021663329,0.110136573,0.646889409,0.119038569,0.015304701,0.008333354,750125-33D.CanFam31.realigned.bam,F_CentralAsia_750125-33D.CanFam31.realigned.bam
1E-09,1E-09,0.185558081,0.111352625,0.221055064,0.342980833,0.117398187,1E-09,0.021655207,750117-28D.CanFam31.realigned.bam,F_CentralAsia_750117-28D.CanFam31.realigned.bam
1E-09,1E-09,0.206642124,0.045215011,0.131518295,0.569712817,0.046911749,1E-09,1E-09,750282-35D.CanFam31.realigned.bam,F_CentralAsia_750282-35D.CanFam31.realigned.bam
1E-09,1E-09,0.187160414,0.055901315,0.115824164,0.576404584,0.05381783,1E-09,0.010891689,750016-17D.CanFam31.realigned.bam,F_CentralAsia_750016-17D.CanFam31.realigned.bam
1E-09,1E-09,0.442120972,0.336027073,0.059419241,0.101992299,0.060440411,1E-09,1E-09,China_SRR20326486.merge.CanFam31.bam,F_CentralAsia_China_SRR20326486.merge.CanFam31.bam
1E-09,1E-09,0.421918971,0.344345029,0.061518669,0.115186679,0.054918146,1E-09,0.002112504,China_SRR20326485.merge.CanFam31.bam,F_CentralAsia_China_SRR20326485.merge.CanFam31.bam
1E-09,1E-09,0.423141037,0.322478998,0.073051524,0.123266178,0.05806226,1E-09,1E-09,China_SRR20326484.merge.CanFam31.bam,F_CentralAsia_China_SRR20326484.merge.CanFam31.bam
1E-09,1E-09,0.399985192,0.249869068,0.087903893,0.159142532,0.081368141,0.02173117,1E-09,China_SRR20326483.merge.CanFam31.bam,F_CentralAsia_China_SRR20326483.merge.CanFam31.bam
1E-09,1E-09,0.118675167,1E-09,0.107024899,0.774299927,1E-09,1E-09,1E-09,MW486.CanFam31.realigned.bam,F_CentralAsia_MW486.CanFam31.realigned.bam
1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,China_SRR20326491.merge.CanFam31.bam,G_EastAsia_China_SRR20326491.merge.CanFam31.bam
1E-09,1E-09,0.999999344,1E-09,6.49387E-07,1E-09,1E-09,1E-09,1E-09,MW574.CanFam31.realigned.bam,G_EastAsia_MW574.CanFam31.realigned.bam
1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Wang_GW4.CanFam31.realigned.bam,G_EastAsia_Wang_GW4.CanFam31.realigned.bam
1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,InnerMongoliaWolf.CanFam31.realigned.bam,G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam
1E-09,1E-09,0.762822409,0.042196605,0.100385757,0.078084151,0.016508552,2.52349E-06,1E-09,MW588.CanFam31.realigned.bam,G_EastAsia_MW588.CanFam31.realigned.bam
1E-09,0.000300024,0.667367921,0.0660399,0.096624855,0.113623982,0.04093142,0.002991068,0.012120829,MW561.CanFam31.realigned.bam,G_EastAsia_MW561.CanFam31.realigned.bam
1E-09,1E-09,0.790366366,1E-09,0.196080359,0.013553269,1E-09,1E-09,1E-09,MW524.CanFam31.realigned.bam,G_EastAsia_MW524.CanFam31.realigned.bam
1E-09,1E-09,0.726765251,1E-09,0.209197353,0.064037391,1E-09,1E-09,1E-09,MW538.CanFam31.realigned.bam,G_EastAsia_MW538.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,MW336.CanFam31.realigned.bam,H_Europe_MW336.CanFam31.realigned.bam
1E-09,0.002868925,0.997131068,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN7.CanFam31.realigned.bam,G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam
1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Chinese_CAN6.CanFam31.realigned.bam,G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam
1E-09,1E-09,0.744679795,1E-09,0.255318575,1E-09,1E-09,1.62421E-06,1E-09,Wang_GW2.CanFam31.realigned.bam,G_EastAsia_Wang_GW2.CanFam31.realigned.bam
1E-09,0.006543043,0.97300027,1E-09,1E-09,1E-09,1E-09,0.020456681,1E-09,LiaoNingWolf.CanFam31.realigned.bam,G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam
1E-09,0.002342197,0.997657796,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Shanxi2Wolf.CanFam31.realigned.bam,G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam
1E-09,0.014690796,0.985309197,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Shanxi1Wolf.CanFam31.realigned.bam,G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,Ellesmere1.CanFam31.realigned.bam,I_NorthAmerica_Ellesmere1.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,AlaskanWolf.CanFam31.realigned.bam,I_NorthAmerica_AlaskanWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,1E-09,1E-09,1E-09,MexicanWolf.CanFam31.realigned.bam,I_NorthAmerica_MexicanWolf.CanFam31.realigned.bam
0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,BerlinZoo.CanFam31.realigned.bam,A_A_Dhole_BerlinZoo.CanFam31.realigned.bam
0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Ethiopian_wolf_B3.CanFam31.realigned.bam,A_B_Ethiopianwolf_Ethiopian_wolf_B3.CanFam31.realigned.bam
0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Syrian_jackal.CanFam31.realigned.bam,A_C_GoldenJackal_Syrian_jackal.CanFam31.realigned.bam
0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,KenyaJackal.CanFam31.realigned.bam,A_D_Africanwolf_KenyaJackal.CanFam31.realigned.bam
0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,ERR4372262_Morocco_Africanwolf.CanFam31.bam,A_D_Africanwolf_ERR4372262_Morocco_Africanwolf.CanFam31.bam
0.947823578,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.044718775,0.007457641,CRR010907_Algeria_Africanwolf.CanFam31.bam,A_D_Africanwolf_CRR010907_Algeria_Africanwolf.CanFam31.bam
0.999999992,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,Africanwolf_SRR8049196.CanFam31.bam,A_D_Africanwolf_Africanwolf_SRR8049196.CanFam31.bam
0.719423557,1E-09,1E-09,1E-09,0.280576436,1E-09,1E-09,1E-09,1E-09,CaliforniaCoyote.CanFam31.realigned.bam,A_E_Coyote_CaliforniaCoyote.CanFam31.realigned.bam
0.64824151,1E-09,1E-09,1E-09,0.295460769,1E-09,1E-09,0.056297715,1E-09,SRR1518489_Coyote_Illinois.CanFam31.bam,A_E_Coyote_SRR1518489_Coyote_Illinois.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,Beagle_SRR7107976.CanFam31.bam,Z_Dog_Beagle_SRR7107976.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,Dauchound_SRR7107971.CanFam31.bam,Z_Dog_Dauchound_SRR7107971.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,SRR7107875_Airdale.CanFam31.bam,Z_Dog_SRR7107875_Airdale.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999992,1E-09,SharPei02.CanFam31.realigned.bam,Z_Dog_SharPei02.CanFam31.realigned.bam
1E-09,0.606380686,0.330514185,1E-09,1E-09,1E-09,1E-09,0.063105123,1E-09,China_Sichuan_again_SRR20326479.CanFam31.bam,E_Tibetan_Sichuan
