A1,A2,A3,A4,A5,A6,A7,Sample,Names
1E-09,1E-09,0.999999994,1E-09,1E-09,1E-09,1E-09,Iran_SAMC036723.CanFam31.bam,C_WestAsia_Iran_SAMC036723.CanFam31.bam
1E-09,1E-09,0.91734502,1E-09,0.0491371,0.033517876,1E-09,Iran_SRR20326411.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam
1E-09,1E-09,0.989528385,1E-09,1E-09,1E-09,0.01047161,Iran_SRR20326410.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam
1E-09,1E-09,0.999999994,1E-09,1E-09,1E-09,1E-09,Iran_SRR20326408.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam
0.021089093,1E-09,0.723122049,1E-09,0.238789024,0.004033465,0.012966367,norwegian_wolf,C_WestAsia_MW387.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,PortugueseWolf.CanFam31.realigned.bam,H_Europe_PortugueseWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.858005978,1E-09,0.141994017,IberianWolf.CanFam31.realigned.bam,H_Europe_IberianWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.637263152,1E-09,0.362736843,wSierraMorena.CanFam31.realigned.bam,H_Europe_wSierraMorena.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,MW005.CanFam31.realigned.bam,H_Europe_MW005.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.98167225,0.018327745,1E-09,MW347.CanFam31.realigned.bam,H_Europe_MW347.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.987836705,1E-09,0.01216329,MW020.CanFam31.realigned.bam,H_Europe_MW020.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,MW045.CanFam31.realigned.bam,H_Europe_MW045.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,MW062.CanFam31.realigned.bam,H_Europe_MW062.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,MW515.CanFam31.realigned.bam,H_Europe_MW515.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,MW707A.CanFam31.realigned.bam,H_Europe_MW707A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,MW703A.CanFam31.realigned.bam,H_Europe_MW703A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,MW706A.CanFam31.realigned.bam,H_Europe_MW706A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.87974579,1E-09,0.120254205,MW1126.CanFam31.realigned.bam,H_Europe_MW1126.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.977217731,1E-09,0.022782264,MW1135.CanFam31.realigned.bam,H_Europe_MW1135.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,MW339.CanFam31.realigned.bam,H_Europe_MW339.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,MW055.CanFam31.realigned.bam,H_Europe_MW055.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.896700113,0.071097302,0.032202581,Wang_GW3.CanFam31.realigned.bam,H_Europe_Wang_GW3.CanFam31.realigned.bam
0.025254796,0.011663731,0.136952043,1E-09,0.15193859,0.674190838,1E-09,Chinese_CAN24.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam
0.014237557,0.015643657,0.155893672,1E-09,0.194357876,0.619867236,1E-09,Chinese_CAN30.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam
0.024078201,1E-09,0.113811316,1E-09,0.220712835,0.613165036,0.02823261,Wang_GW1.CanFam31.realigned.bam,F_CentralAsia_Wang_GW1.CanFam31.realigned.bam
0.032019085,0.007920251,0.20832547,0.000000001,0.129483295,0.591735836,0.030516062,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam
0.022728264,0.00537978,0.16274046,1E-09,0.135257891,0.673893603,1E-09,Kazakhstan_SRR20326405.CanFam31.bam,F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam
0.2147373,0.009452138,0.473059636,0.000000001,0.129388201,0.154522456,0.018840268,norwegian_wolf,F_CentralAsia_AW012.CanFam31.realigned.bam
0.007581858,1E-09,0.124396704,1E-09,0.127474724,0.740546711,1E-09,Russia_SRR20326404.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam
0.00113387,1E-09,0.107075821,1E-09,0.136504292,0.755286014,1E-09,Russia_SRR20326403.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,0.033494301,0.966505694,1E-09,Russia_SRR20326401.CanFam31.bam,F_CentralAsia_Russia_SRR20326401.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,Russia_SRR20326400.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam
0.007133714,0.000000001,0.381060219,0.013781673,0.3064717,0.24931059,0.042242103,Russia_SRR20326388.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam
0.05265746,0.090041368,0.377729483,1E-09,1E-09,0.479571686,1E-09,Tajikistan_SRR20326385.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam
0.055816499,0.050323776,0.398601168,1E-09,1E-09,0.495258554,1E-09,Tajikistan_SRR20326384.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326384.CanFam31.bam
0.074140663,0.036600292,0.406925596,1E-09,1E-09,0.482333446,1E-09,Tajikisan_SRR20326383.merge.CanFam31.bam,F_CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam
0.058974792,0.04181885,0.382962547,1E-09,1E-09,0.516243809,1E-09,Tajikistan_SRR20326382.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam
0.058413671,0.284974175,0.312268548,1E-09,1E-09,0.344343603,1E-09,Tajikistan_SRR20326381.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326381.CanFam31.bam
0.050849075,0.051730856,0.401882446,1E-09,1E-09,0.495537619,1E-09,Tajikistan_SRR20326251.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam
0.047069088,0.300283491,0.302387568,1E-09,1E-09,0.350259849,1E-09,Tajikistan_SRR20326250.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam
0.017060935,1E-09,0.189788177,1E-09,0.450189216,0.34296167,1E-09,750114-25D.CanFam31.realigned.bam,F_CentralAsia_750114-25D.CanFam31.realigned.bam
0.016941763,1E-09,0.206107297,1E-09,0.455396506,0.321554431,1E-09,750119-30D.CanFam31.realigned.bam,F_CentralAsia_750119-30D.CanFam31.realigned.bam
0.009081043,1E-09,0.138526817,1E-09,0.689235433,0.142112142,0.021044563,750125-33D.CanFam31.realigned.bam,F_CentralAsia_750125-33D.CanFam31.realigned.bam
0.029255029,1E-09,0.193901191,1E-09,0.416256926,0.360586851,1E-09,750117-28D.CanFam31.realigned.bam,F_CentralAsia_750117-28D.CanFam31.realigned.bam
0.001943317,1E-09,0.078286327,1E-09,0.613462222,0.306308131,1E-09,750282-35D.CanFam31.realigned.bam,F_CentralAsia_750282-35D.CanFam31.realigned.bam
0.014084571,1E-09,0.088433842,1E-09,0.614073037,0.281277899,0.002130649,750016-17D.CanFam31.realigned.bam,F_CentralAsia_750016-17D.CanFam31.realigned.bam
0.020822075,0.009699374,0.204020117,1E-09,0.094329157,0.671129275,1E-09,China_SRR20326486.merge.CanFam31.bam,F_CentralAsia_China_SRR20326486.merge.CanFam31.bam
0.023358187,0.003127849,0.205636521,1E-09,0.106174634,0.661702808,1E-09,China_SRR20326485.merge.CanFam31.bam,F_CentralAsia_China_SRR20326485.merge.CanFam31.bam
0.019889178,0.001617388,0.198872897,1E-09,0.121225405,0.658395131,1E-09,China_SRR20326484.merge.CanFam31.bam,F_CentralAsia_China_SRR20326484.merge.CanFam31.bam
0.011968945,0.005446653,0.197457118,0.000000001,0.167648749,0.595253808,0.022224726,China_SRR20326483.merge.CanFam31.bam,F_CentralAsia_China_SRR20326483.merge.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,0.822018304,0.177981691,1E-09,MW486.CanFam31.realigned.bam,F_CentralAsia_MW486.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,China_SRR20326491.merge.CanFam31.bam,G_EastAsia_China_SRR20326491.merge.CanFam31.bam
1E-09,0.019841508,1E-09,1E-09,0.010540485,0.946132749,0.023485254,MW574.CanFam31.realigned.bam,G_EastAsia_MW574.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,Wang_GW4.CanFam31.realigned.bam,G_EastAsia_Wang_GW4.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.992216282,0.007783713,InnerMongoliaWolf.CanFam31.realigned.bam,G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam
8.08319E-06,0.00606068,0.036600619,1E-09,0.097300612,0.842075754,0.017954251,MW588.CanFam31.realigned.bam,G_EastAsia_MW588.CanFam31.realigned.bam
0.016272669,0.009379952,0.06940004,1E-09,0.131830329,0.756788009,0.016329,MW561.CanFam31.realigned.bam,G_EastAsia_MW561.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.084444437,0.906224044,0.009331515,MW524.CanFam31.realigned.bam,G_EastAsia_MW524.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.130254089,0.869745906,1E-09,MW538.CanFam31.realigned.bam,G_EastAsia_MW538.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,MW336.CanFam31.realigned.bam,H_Europe_MW336.CanFam31.realigned.bam
1E-09,0.030326899,1E-09,1E-09,1E-09,0.965247201,0.004425896,Chinese_CAN7.CanFam31.realigned.bam,G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam
1E-09,0.010259275,1E-09,1E-09,1E-09,0.98974072,1E-09,Chinese_CAN6.CanFam31.realigned.bam,G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.08479203,0.882237088,0.032970878,Wang_GW2.CanFam31.realigned.bam,G_EastAsia_Wang_GW2.CanFam31.realigned.bam
1E-09,0.029902997,1E-09,1E-09,1E-09,0.926939319,0.043157679,LiaoNingWolf.CanFam31.realigned.bam,G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam
1E-09,0.048868855,1E-09,1E-09,1E-09,0.903889089,0.047242051,Shanxi2Wolf.CanFam31.realigned.bam,G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam
1E-09,0.05720528,1E-09,1E-09,1E-09,0.940243713,0.002551004,Shanxi1Wolf.CanFam31.realigned.bam,G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.084598667,0.148173623,0.69166817,0.075559537,Ellesmere1.CanFam31.realigned.bam,I_NorthAmerica_Ellesmere1.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.084390241,0.17842657,0.652705914,0.084477271,AlaskanWolf.CanFam31.realigned.bam,I_NorthAmerica_AlaskanWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.14775891,0.120967327,0.597677451,0.133596309,MexicanWolf.CanFam31.realigned.bam,I_NorthAmerica_MexicanWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,1E-09,BerlinZoo.CanFam31.realigned.bam,A_A_Dhole_BerlinZoo.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,1E-09,Ethiopian_wolf_B3.CanFam31.realigned.bam,A_B_Ethiopianwolf_Ethiopian_wolf_B3.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,1E-09,Syrian_jackal.CanFam31.realigned.bam,A_C_GoldenJackal_Syrian_jackal.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,1E-09,KenyaJackal.CanFam31.realigned.bam,A_D_Africanwolf_KenyaJackal.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,1E-09,ERR4372262_Morocco_Africanwolf.CanFam31.bam,A_D_Africanwolf_ERR4372262_Morocco_Africanwolf.CanFam31.bam
1E-09,1E-09,1E-09,0.968974061,1E-09,1E-09,0.031025934,CRR010907_Algeria_Africanwolf.CanFam31.bam,A_D_Africanwolf_CRR010907_Algeria_Africanwolf.CanFam31.bam
1E-09,1E-09,1E-09,0.999999994,1E-09,1E-09,1E-09,Africanwolf_SRR8049196.CanFam31.bam,A_D_Africanwolf_Africanwolf_SRR8049196.CanFam31.bam
1E-09,1E-09,1E-09,0.824164727,1E-09,0.175835268,1E-09,CaliforniaCoyote.CanFam31.realigned.bam,A_E_Coyote_CaliforniaCoyote.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.728448284,1E-09,0.173100708,0.098451004,SRR1518489_Coyote_Illinois.CanFam31.bam,A_E_Coyote_SRR1518489_Coyote_Illinois.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999994,Beagle_SRR7107976.CanFam31.bam,Z_Dog_Beagle_SRR7107976.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999994,Dauchound_SRR7107971.CanFam31.bam,Z_Dog_Dauchound_SRR7107971.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999994,SRR7107875_Airdale.CanFam31.bam,Z_Dog_SRR7107875_Airdale.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999994,SharPei02.CanFam31.realigned.bam,Z_Dog_SharPei02.CanFam31.realigned.bam
1E-09,0.622108529,1E-09,1E-09,1E-09,0.310046733,0.067844734,China_Sichuan_again_SRR20326479.CanFam31.bam,E_Tibetan_Sichuan
