A1,A2,A3,A4,A5,A6,Sample,Names
0.007283352,0.141592254,0.3464161,0.197832993,1E-09,0.3068753,Karakoram_S19_10678.CanFam31.bam,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
1E-09,0.049618181,0.38587977,0.205265414,1E-09,0.359236633,Karakoram_S19_10679.CanFam31.bam,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
1E-09,1E-09,0.28854133,1E-09,1E-09,0.711458666,DGKhan_S19_10680.CanFam31.bam,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
6.71947E-08,1E-09,0.369347252,0.041146963,1E-09,0.589505716,S21_1037_Kolhu.CanFam31.bam,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.003321676,0.031085819,0.394801447,0.200706342,0.000000001,0.370084716,S21_1038_Chitral.CanFam31.bam,D_Pakistan_S21_1038_Chitral.CanFam31.bam
1.54773E-08,1E-09,0.380460258,0.073472167,1E-09,0.546067557,S21_1039_Punjab.CanFam31.bam,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.009156887,1E-09,0.398387159,0.096033002,1E-09,0.49642295,S21_1041_Waziristan.CanFam31.bam,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
1E-09,0.016619218,0.401652274,0.189736373,1E-09,0.391992133,S21_1042_Chitral.CanFam31.bam,D_Pakistan_S21_1042_Chitral.CanFam31.bam
1E-09,0.014565289,0.292994884,0.583589729,1E-09,0.108850096,Kyrgyz_WLF179.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam
1E-09,0.007910687,0.303854997,0.579353767,1E-09,0.108880547,Kyrgyz_WLF180.CanFam31.bam,F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999995,BH6_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999995,BH126_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999995,Indianwolf_SRR13985171.CanFam31.bam,B_Indian_Indianwolf_SRR13985171.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999995,BH124_Indian_Wolf.CanFam31.realigned.bam,B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999995,Indianwolf_BH123.merge.CanFam31.bam,B_Indian_Indianwolf_BH123.merge.CanFam31.bam
1E-09,0.999999995,1E-09,1E-09,1E-09,1E-09,MYL_Tibetan_SAMN12565073.CanFam31.bam,E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam
0.06692359,0.432123221,0.218148846,1E-09,1E-09,0.282804341,BH1_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam
0.066588927,0.646560784,0.069707087,1E-09,1E-09,0.2171432,BH4_Tibetan_Wolf.CanFam31.realigned.bam,E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,0.999999995,1E-09,1E-09,1E-09,1E-09,Chinese_CAN9A.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam
1E-09,0.798662555,1E-09,0.201337441,1E-09,1E-09,Chinese_CAN11.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam
1E-09,0.999999995,1E-09,1E-09,1E-09,1E-09,Chinese_CAN16.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam
1E-09,0.999999995,1E-09,1E-09,1E-09,1E-09,Chinese_CAN32.CanFam31.realigned.bam,E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam
1E-09,1E-09,0.771885671,1E-09,1E-09,0.228114325,Iranwolf_SRR12009566.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam
0.073359144,1E-09,0.724957407,1E-09,0.016325547,0.1853579,Iranwolf_SRR12009567.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam
0.026144672,0.000000001,0.738569794,0.008120387,0.019219157,0.207945989,Iranwolf_SRR12009568.merge.CanFam31.bam,C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam
0.115264037,1E-09,0.687890884,1E-09,0.028210275,0.168634802,S21_2743_SaudiArabia.CanFam31.bam,C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam
0.004331364,0.009857598,0.687388221,0.06603055,0.027261478,0.205130788,IranWolf.CanFam31.realigned.bam,C_WestAsia_IranWolf.CanFam31.realigned.bam
0.088674831,1E-09,0.64616707,1E-09,0.077676149,0.187481949,Saudi_wolf_B1.CanFam31.realigned.bam,C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam
0.080931779,1E-09,0.691711728,1E-09,0.052954851,0.174401639,Syrian_wolf.CanFam31.realigned.bam,C_WestAsia_Syrian_wolf.CanFam31.realigned.bam
0.054351924,1E-09,0.717800332,1E-09,0.039910516,0.187937226,Lebanonwolf.CanFam31.bam,C_WestAsia_Lebanonwolf.CanFam31.bam
1E-09,1E-09,0.770741715,1E-09,1E-09,0.229258281,Iran_SAMC036723.CanFam31.bam,C_WestAsia_Iran_SAMC036723.CanFam31.bam
0.002267785,0.000000001,0.658413439,0.147304867,0.019926016,0.172087892,Iran_SRR20326411.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam
0.069305414,0.000000001,0.675286843,0.068728239,0.013463329,0.173216173,Iran_SRR20326410.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam
