A1,A2,A3,A4,A5,Sample,Names
0.173109734,0.013782127,0.000000001,0.077881047,0.73522709,norwegian_wolf,C_WestAsia_MW387.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,PortugueseWolf.CanFam31.realigned.bam,H_Europe_PortugueseWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,IberianWolf.CanFam31.realigned.bam,H_Europe_IberianWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,wSierraMorena.CanFam31.realigned.bam,H_Europe_wSierraMorena.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.088025483,0.911974514,MW005.CanFam31.realigned.bam,H_Europe_MW005.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.123267835,0.876732162,MW347.CanFam31.realigned.bam,H_Europe_MW347.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.017254319,0.982745678,MW020.CanFam31.realigned.bam,H_Europe_MW020.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW045.CanFam31.realigned.bam,H_Europe_MW045.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW062.CanFam31.realigned.bam,H_Europe_MW062.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW515.CanFam31.realigned.bam,H_Europe_MW515.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.014907255,0.985092742,MW707A.CanFam31.realigned.bam,H_Europe_MW707A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW703A.CanFam31.realigned.bam,H_Europe_MW703A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW706A.CanFam31.realigned.bam,H_Europe_MW706A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW1126.CanFam31.realigned.bam,H_Europe_MW1126.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW1135.CanFam31.realigned.bam,H_Europe_MW1135.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW339.CanFam31.realigned.bam,H_Europe_MW339.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW055.CanFam31.realigned.bam,H_Europe_MW055.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.113072413,0.886927584,Wang_GW3.CanFam31.realigned.bam,H_Europe_Wang_GW3.CanFam31.realigned.bam
0.054872976,1E-09,0.010535407,0.72413532,0.210456296,Chinese_CAN24.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam
0.047058295,0.000000001,0.014134239,0.672428492,0.266378973,Chinese_CAN30.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam
0.047312973,0.000000001,4.19663E-07,0.653154542,0.299532064,Wang_GW1.CanFam31.realigned.bam,F_CentralAsia_Wang_GW1.CanFam31.realigned.bam
0.076832669,0.000000001,0.005929288,0.660649695,0.256588348,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam
0.0578586,0.000000001,0.001229573,0.747890074,0.193021752,Kazakhstan_SRR20326405.CanFam31.bam,F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam
0.33592013,0.001081464,0.008751453,0.192880072,0.461366881,norwegian_wolf,F_CentralAsia_AW012.CanFam31.realigned.bam
0.034868107,1E-09,1E-09,0.800701128,0.164430764,Russia_SRR20326404.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam
0.024475661,1E-09,1E-09,0.813135654,0.162388683,Russia_SRR20326403.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,Russia_SRR20326401.CanFam31.bam,F_CentralAsia_Russia_SRR20326401.CanFam31.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,Russia_SRR20326400.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam
0.082441403,0.020030923,0.000000001,0.307444088,0.590083586,Russia_SRR20326388.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam
0.159837239,1E-09,0.076028827,0.681021825,0.083112108,Tajikistan_SRR20326385.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam
0.160640522,1E-09,0.039178471,0.651891606,0.1482894,Tajikistan_SRR20326384.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326384.CanFam31.bam
0.181254344,1E-09,0.026328318,0.628094475,0.164322863,Tajikisan_SRR20326383.merge.CanFam31.bam,F_CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam
0.160251134,1E-09,0.031282241,0.674972325,0.133494299,Tajikistan_SRR20326382.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam
0.142318417,1E-09,0.276658164,0.470365635,0.110657783,Tajikistan_SRR20326381.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326381.CanFam31.bam
0.163616586,1E-09,0.037249882,0.699575338,0.099558194,Tajikistan_SRR20326251.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam
