P1,P2,Group,Group_ordered,Group_broad,Lat,Long,P3,P4,Dstat,Se,Zscore,ABBA,BABA,total
Wolf_Norway_MW005,Wolf_Tajikisan_SRR20326383,Tajikistan,B_Tajikistan,CentralAsianmountains,38.24588163,73.92571301,Wolf_Tibetan_CAN33,Andeanfox,0.000428,0.000111,3.865,444154,425048,44668530
Wolf_Norway_MW005,Wolf__Kyrgyz180,Kyrgyzstan,C_Kyrgyzstan,CentralAsianmountains,41.05044547,78.45023603,Wolf_Tibetan_CAN32,Andeanfox,0.000355,0.000091,3.894,435453,419581,44668530
Wolf_Norway_MW005,Wolf_Turkey,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,41.24115265,42.04279107,Wolf_Tibetan_CAN32,Andeanfox,0.000473,0.000076,6.253,410008,388875,44668530
Wolf_Norway_MW005,Wolf_China_LiaoNing,EastChina,E_EastChina,EastChina_Mongolia,41.52920016,122.2836808,Wolf_Tibetan_CAN32,Andeanfox,-0.001216,0.000113,-10.768,385584,439923,44668530
Wolf_Norway_MW005,Wolf_Kyrgyz179,Kyrgyzstan,C_Kyrgyzstan,CentralAsianmountains,41.68139642,78.53014387,Wolf_Tibetan_CAN32,Andeanfox,0.000372,0.000113,3.29,439843,423241,44668530
Wolf_Norway_MW005,China_SRR20326485_Xinjiang,Xinjiang,Xinjiang,Xinjiang,41.90213297,86.07941029,Wolf_Tibetan_CAN32,Andeanfox,0.00061,0.000123,4.975,446205,418973,44668530
Wolf_Norway_MW016,Wolf_Spain_Iberian,Europe,I_Europe,Europe,42.660901,-4.029743,Wolf_Tibetan_CAN42,Andeanfox,0.000744,0.000073,10.179 ,421482,388252,44668530
Wolf_Norway_MW018,Wolf_Bulgaria_MW706A,Europe,I_Europe,Europe,42.6977,23.32186,Wolf_Tibetan_CAN32,Andeanfox,0.000761,0.000097,7.872,401055,367062,44668530
Wolf_Norway_MW005,China_SRR20326483_Xinjiang,Xinjiang,Xinjiang,Xinjiang,42.90213297,87.07941029,Wolf_Tibetan_CAN32,Andeanfox,0.000646,0.000084,7.739,444718,415843,44668530
Wolf_Norway_MW005,Wolf_Croatia_MW1126,Europe,I_Europe,Europe,43.16,17.32,Wolf_Tibetan_CAN32,Andeanfox,0.000304,0.000062,4.926,382545,368968,44668530
Wolf_Norway_MW005,Wolf_Xinjiang_CAN24,Xinjiang,Xinjiang,Xinjiang,43.3,93.5,Wolf_Tibetan_CAN32,Andeanfox,-0.001048,0.000113,-9.264,388543,435368,44668530
Wolf_Norway_MW005,Wolf_China_InnerMong_Wang_GW4,EastChina,E_EastChina,EastChina_Mongolia,43.50679116,114.5133632,Wolf_Tibetan_CAN32,Andeanfox,-0.001168,0.000108,-10.816,373720,425912,44668530
Wolf_Norway_MW005,Wolf_China_InnerMongoliaWolf,EastChina,E_EastChina,EastChina_Mongolia,43.50679116,114.5133632,Wolf_Tibetan_CAN32,Andeanfox,-0.000566,0.000113,-5.005,401608,426888,44668530
Wolf_Norway_MW022,Wolf_Russia_SRR20326388,Russia,H_Russia,Russia,43.62207498,39.71414001,Wolf_Tibetan_CAN40,Andeanfox,0.001097,0.000104,10.567,442794,393801,44668530
Wolf_Norway_MW005,Wolf_Mongolia_MW561,Mongolia,F_Mongolia,EastChina_Mongolia,43.71147,111.91448,Wolf_Tibetan_CAN32,Andeanfox,-0.000333,0.000111,-2.991,389434,404293,44668530
Wolf_Norway_MW017,Wolf_Bosnia_MW703A,Europe,I_Europe,Europe,43.7831,19.2918,Wolf_Tibetan_CAN32,Andeanfox,0.000761,0.000097,7.872,401055,367062,44668530
Wolf_Norway_MW005,China_SRR20326484_Xinjiang,Xinjiang,Xinjiang,Xinjiang,43.90213297,86.07941029,Wolf_Tibetan_CAN32,Andeanfox,0.000489,0.000077,6.345,440042,418218,44668530
Wolf_Norway_MW005,Wolf_MW486_Russia,Russia,H_Russia,Russia,44.22931,65.86165,Wolf_Tibetan_CAN32,Andeanfox,0.000342,0.000055,6.276,376667,361387,44668530
Wolf_Norway_MW006,Wolf_Kazakhstan_SRR20326405,Kazakhstan,G_Kazakhstan,Kazakhstan,46.03419599,70.20021454,Wolf_Tibetan_CAN32,Andeanfox,0.00055,0.00009,6.082,441659,417088,44668530
Wolf_Norway_MW005,Wolf_MW062_Romania,Europe,I_Europe,Europe,46.128965,25.610115,Wolf_Tibetan_CAN32,Andeanfox,0.00044,0.000098,4.494,386651,367004,44668530
Wolf_Norway_MW005,Wolf_Xinjiang_CAN30,Xinjiang,Xinjiang,Xinjiang,46.2,83.9,Wolf_Tibetan_CAN32,Andeanfox,-0.00104,0.000072,-14.488,386577,433035,44668530
Wolf_Norway_MW005,Wolf_Mongolia_MW574,Mongolia,F_Mongolia,EastChina_Mongolia,46.38686805,102.7913401,Wolf_Tibetan_CAN32,Andeanfox,-0.000516,0.000116,-4.438,391727,414786,44668530
Wolf_Norway_MW005,China_SRR20326491_Heilongjiang,EastChina,E_EastChina,EastChina_Mongolia,47.25093945,128.3917478,Wolf_Tibetan_CAN32,Andeanfox,0.000055,0.000099,0.556,439246,436784,44668530
Wolf_Norway_MW005,Wolf_Iran_Zanjan,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,47.52,35.25,Wolf_Tibetan_CAN32,Andeanfox,0.001373,0.000084,16.261,459134,397782,44668530
Wolf_Norway_MW005,Wolf_InnerMongoliia_CAN7,EastChina,E_EastChina,EastChina_Mongolia,47.89719487,122.7273978,Wolf_Tibetan_CAN32,Andeanfox,-0.001661,0.000099,-16.775,381185,455402,44668530
Wolf_Norway_MW008,Wolf_Russia_750125,Russia,H_Russia,Russia,48.06,53.32,Wolf_Tibetan_CAN34,Andeanfox,0.000569,0.000072,7.859,394700,369290,44668530
Wolf_Norway_MW005,Wolf_Austria_MW515,Europe,I_Europe,Europe,48.65342,15.33925,Wolf_Tibetan_CAN32,Andeanfox,0.000487,0.000074,6.598,390074,368315,44668530
Wolf_Norway_MW005,Wolf_Kazakhstan_750114,Kazakhstan,G_Kazakhstan,Kazakhstan,48.71935718,69.4279307,Wolf_Tibetan_CAN32,Andeanfox,0.000318,0.000078,4.048,401489,387302,44668530
Wolf_Norway_MW005,Wolf_Kazakhstan_750119,Kazakhstan,G_Kazakhstan,Kazakhstan,48.71935718,69.4279307,Wolf_Tibetan_CAN32,Andeanfox,0.000359,0.000075,4.802,402451,386427,44668530
